,id,name,category,subcategory,price,currency,brand
0,54521,Ensalada Mezclum Petit Plà 250g,Frescos,Mercado,2.98,EUR,Fruites i  Verdures Lluís Macià
1,42519,Aguacate Maduro,Frescos,Mercado,3.99,EUR,Fruites i  Verdures Lluís Macià
2,43876,Plátano de Canarias Verde,Frescos,Mercado,2.47,EUR,Fruites i  Verdures Lluís Macià
3,42501,Plátano de Canarias Maduro,Frescos,Mercado,2.47,EUR,Fruites i  Verdures Lluís Macià
4,42535,Fresas de Maresme 500g,Frescos,Mercado,3.98,EUR,Fruites i  Verdures Lluís Macià
5,42516,Kiwi Amarillo,Frescos,Mercado,9.03,EUR,Fruites i  Verdures Lluís Macià
6,42502,Mandarina,Frescos,Mercado,3.98,EUR,Fruites i  Verdures Lluís Macià
7,45971,Melón Bollo/Vicentin - Media Unidad,Frescos,Mercado,6.3,EUR,Fruites i  Verdures Lluís Macià
8,48267,Fresas de Huelva 500g,Frescos,Mercado,2.99,EUR,Fruites i  Verdures Lluís Macià
9,42538,Calabacín,Frescos,Mercado,1.68,EUR,Fruites i  Verdures Lluís Macià
10,42551,Brócoli,Frescos,Mercado,1.25,EUR,Fruites i  Verdures Lluís Macià
11,42531,Judía Perona,Frescos,Mercado,2.49,EUR,Fruites i  Verdures Lluís Macià
12,42564,Patata Blanca (Monalisa),Frescos,Mercado,1.2,EUR,Fruites i  Verdures Lluís Macià
13,42539,Berenjena Negra,Frescos,Mercado,1.23,EUR,Fruites i  Verdures Lluís Macià
14,42543,Pepino,Frescos,Mercado,1.25,EUR,Fruites i  Verdures Lluís Macià
15,42600,Cebolla Tierna Manojo,Frescos,Mercado,1.95,EUR,Fruites i  Verdures Lluís Macià
16,42563,Zanahoria Segovia,Frescos,Mercado,1.85,EUR,Fruites i  Verdures Lluís Macià
17,42541,Pimiento Rojo,Frescos,Mercado,2.0,EUR,Fruites i  Verdures Lluís Macià
18,42830,Salmón Noruego Superior Suprema 210 gr aprox,Frescos,Mercado,4.91,EUR,Peixnot
19,42816,Lubina a Filetes 350 gr,Frescos,Mercado,3.43,EUR,Peixnot
20,43359,Salmón Noruego Ecológico Suprema 220gr,Frescos,Mercado,6.34,EUR,Peixnot
21,42809,Dorada a Filetes 350 gr,Frescos,Mercado,3.47,EUR,Peixnot
22,46451,Salmón a Dados 210 gr,Frescos,Mercado,5.04,EUR,Peixnot
23,42846,Calamar Fresco pequeño Limpio para plancha 500 gr,Frescos,Mercado,10.0,EUR,Peixnot
24,42863,Mejillón de Roca 500 gr,Frescos,Mercado,2.0,EUR,Peixnot
25,42820,Merluza de Arrastre - Media a Filetes - sin Cabeza 1000 gr,Frescos,Mercado,10.0,EUR,Peixnot
26,42150,Hamburguesa de Ternera de Girona 4 uds,Frescos,Mercado,4.2,EUR,Carnisseria Olga
27,42156,Carne Picada de Ternera de Girona 500g,Frescos,Mercado,4.95,EUR,Carnisseria Olga
28,42904,Salchichas de Cerdo - 6 a 8 uds aprox,Frescos,Mercado,4.2,EUR,Carns i Xarcuteria Escofet Oliver
29,42274,Hamburguesa de Pollo con Teriyaki y Sésamo  2 x 150g,Frescos,Mercado,2.97,EUR,Polleries El Pagès
30,42326,Salchichas de Pollo 6 uds aprox,Frescos,Mercado,3.47,EUR,Polleries El Pagès
31,42269,Hamburguesa de Pollo 2 x 150g,Frescos,Mercado,2.97,EUR,Polleries El Pagès
32,42145,Hamburguesa Eco de Bistec de Ternera 1ª del Pallars 2uds,Frescos,Mercado,6.0,EUR,Carnisseria Olga
33,42151,Minihamburguesas de Ternera Eco 8uds,Frescos,Mercado,7.5,EUR,Carnisseria Olga
34,42936,Longaniza de Payés,Frescos,Mercado,2.65,EUR,Carns i Xarcuteria Escofet Oliver
35,42929,Jamón cocido extra,Frescos,Mercado,2.09,EUR,Carns i Xarcuteria Escofet Oliver
36,42932,Pechuga de Pavo cocida,Frescos,Mercado,2.69,EUR,Carns i Xarcuteria Escofet Oliver
37,42941,Jamón de Teruel,Frescos,Mercado,3.15,EUR,Carns i Xarcuteria Escofet Oliver
38,47266,Pierna de Pavo Extra Natural,Frescos,Mercado,2.33,EUR,Carns i Xarcuteria Escofet Oliver
39,42935,Fuet Extra en pieza,Frescos,Mercado,3.55,EUR,Carns i Xarcuteria Escofet Oliver
40,42921,Chorizo Ibérico de Bellota,Frescos,Mercado,2.35,EUR,Carns i Xarcuteria Escofet Oliver
41,42937,Sobrasada de Mallorca,Frescos,Mercado,1.95,EUR,Carns i Xarcuteria Escofet Oliver
42,47267,Queso Feta Griego D.O.P.,Frescos,Mercado,2.79,EUR,Carns i Xarcuteria Escofet Oliver
43,49928,Queso en Cuña Artesanal Fresco de Cabra 200gr,Frescos,Mercado,3.18,EUR,Cansaladeria Alós
44,42952,Queso Burrata,Frescos,Mercado,4.9,EUR,Carns i Xarcuteria Escofet Oliver
45,42751,Garbanzos Cocidos,Frescos,Mercado,3.05,EUR,Llegums Porta Novau
46,42757,Lenteja Pardina Cocida,Frescos,Mercado,3.05,EUR,Llegums Porta Novau
47,42756,Alubias de Santa Pau Cocidas,Frescos,Mercado,3.05,EUR,Llegums Porta Novau
48,44685,Hummus,Frescos,Mercado,3.8,EUR,Llegums Porta Novau
49,42319,Canelones de Rostit 6 uds.,Frescos,Mercado,5.5,EUR,Polleries El Pagès
